id,casrn,tri_chemical_id,srs_id,casrn,source_chemical_name,tri_chemical_name,Other common names,NJ Right to Know FactSheet (URL),Carcinogens,Carcinogenicity source,Developmental or Reproductive Toxicants,Developmental / Reproductive Toxicity sources,Mutagens,Mutagen source,Neurotoxicants,Neuro source,Endocrine Disruptors,Endocrine Source,Asthmagens,Asthmagen Source
9ab8c556-8ded-4c94-9f94-98f9aebaeb6f,10453-86-8,10453868,,10453-86-8,Resmethrin,,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/3450.pdf,Yes,S4,Yes,S4,,,,,,,,
9ab8bda7-2bdb-47c7-b2bf-d066c1d8f18d,105-67-9,105679,22970,105-67-9,"2,4-Dimethylphenol","2,4-Dimethylphenol",,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0764.pdf,,,,,,,,,,,,
9ab8c83c-5cf1-414a-80c8-e0234645de3d,106-42-3,106423,23580,106-42-3,p-Xylene,p-Xylene,,,,,,,,,,,Yes,S3,,
9ab8ba59-145a-469c-aeec-842220709f8a,106-44-5,106445,23606,106-44-5,p-Cresol,p-Cresol,,,,,,,,,,,Yes,S3,,
9ab8bb9e-9a21-402b-800b-f64209559e54,106-46-7,106467,23622,106-46-7,"1,4-Dichlorobenzene (p-Dichlorobenzene)","1,4-Dichlorobenzene",,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0643.pdf,Yes,"S4, S16, S18",,,,,,,,,Yes,S8
9ab8b952-d979-43f7-8a6a-dc006f629b8a,106-47-8,106478,23630,106-47-8,p-Chloroaniline,p-Chloroaniline,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/2964.pdf,Yes,"S4,  S11, S14, S18",,,,,,,Yes,S3,,
9ab8c411-8672-417e-98e6-bc814ddaa954,106-50-3,106503,23663,106-50-3,p-Phenylenediamine,p-Phenylenediamine,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1586.pdf,,,,,,,Yes ,S7,Yes,S3,Yes,"S8, S17"
9ab8c53e-5711-436a-82c1-349de2d77ea4,106-51-4,106514,23671,106-51-4,Quinone,Quinone,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1460.pdf,,,,,,,,,,,Yes,S8
9ab8b81d-a317-405d-ad09-dee0d367edae,106-88-7,106887,23937,106-88-7,"1,2-Butylene oxide","1,2-Butylene oxide",,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0287.pdf,Yes, S18,,,,,,,Yes,S3,,
9ab8be83-1a4a-48f7-b45d-d676ce9d86b9,106-89-8,106898,23945,106-89-8,Epichlorohydrin,Epichlorohydrin,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0828.pdf,Yes,"S4,  S14, S16, S18, S19",Yes,S4,Yes ,S14 ,,,Yes,S3,Yes,S8
9ab8bb5d-535b-4abb-acbc-e68fb65ced6e,106-93-4,106934,23986,106-93-4,"1,2-Dibromoethane (Ethylene dibromide)","1,2-Dibromoethane",,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0877.pdf,Yes,"S4,  S11, S14, S16, S18, S19",Yes,S4,,,Yes ,S7,Yes,S3,Yes,S8
9ab8b7cc-ac54-4503-9f67-c561847cdd0a,106-94-5,106945,23994,106-94-5,1-Bromopropane,1-Bromopropane,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/4198.pdf,Yes,"S4, S16, S18",Yes,"S4, S11, S14",,,Yes,S7,,,Yes,S8
9ab8b7f5-4b68-4dab-9f59-76f0da4013df,106-99-0,106990,24042,106-99-0,"1,3-Butadiene","1,3-Butadiene",,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0272.pdf,Yes,"S4,  S11, S14, S16, S18, S19",Yes,"S4, S14",Yes,"S11, S14 ",Yes ,S7,Yes,S3,,
9ab8b5c2-fc0b-4475-8a22-2e0d00427d4e,0107-02-08,107028,24075,107-02-8,Acrolein,Acrolein,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0021.pdf,Yes ,"S14, S18",,,,,,,,,Yes,S8
9ab8b614-45e5-4ae9-a3e6-c2bfea4f9a99,0107-05-01,107051,24109,107-05-1,Allyl chloride,Allyl chloride,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0039.pdf,Yes, S14 ,,,,,Yes ,S7,,,,
9ab8bbe7-c20b-4748-8366-61b246487744,0107-06-02,107062,24117,107-06-2,"1,2-Dichloroethane","1,2-Dichloroethane",,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0652.pdf,Yes,"S4,  S14, S16, S18",,,,,,,,,Yes,S8
9ab8b60c-31ba-4da7-8e41-cc22034fd42d,0107-11-9,107119,24166,107-11-9,Allylamine,Allylamine,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0037.pdf,,,,,,,,,,,,
9ab8b5db-5a4e-4bd9-9b4f-44915f9300db,107-13-1,107131,24182,107-13-1,Acrylonitrile,Acrylonitrile,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0024.pdf,Yes,"S4,  S14, S16, S18",Yes ,S14 ,,,Yes ,S7,Yes,S3,Yes,S8
9ab8b604-1ac2-47c8-ab91-d5be666f40db,107-18-6,107186,24224,107-18-6,Allyl alcohol,Allyl alcohol,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0036.pdf,,,,,,,,,Yes,S3,Yes,S8
9ab8c4e5-384c-4e52-bf9d-41af720d9e3f,107-19-7,107197,24232,107-19-7,Propargyl alcohol,Propargyl alcohol,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1597.pdf,,,,,,,,,Yes,S3,,
9ab8bec3-d9bd-48b7-9ad8-d29846251dbb,107-21-1,107211,24257,107-21-1,Ethylene glycol,Ethylene glycol,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0878.pdf,,,Yes,S4,Yes ,S14 ,Yes,S7,Yes,S3,Yes,S8
9ab8b994-27bb-4860-b792-e380f486ac18,107-30-2,107302,24299,107-30-2,Chloromethyl methyl ether,Chloromethyl methyl ether,Methyl chloromethyl ether,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0391.pdf,Yes,"S4,  S11, S15, S14, S18, S19",,,,,,,,,Yes,S8
9ab8d057-aaa7-4408-b92a-69566cdfc5e0,1078142-10-5,1078142105,,1078142-10-5,"1,3-Propanediol, 2,2-bis[[(γ-ω-perfluoro-C6-12-alkyl)thio]methyl] derivs., polymers with 2,2-bis[[(γ-ω-perfluoro-C10-20-alkyl)thio]methyl]-1,3-propanediol, 1,6-diisocyanato-2,2,4(or 2,4,4)-trimethylhexane, 2-heptyl-3,4-bis(9-isocyanatononyl)-1-pentylcyclohexane and 2,2'-(methylimino)bis[ethanol]",,,,,,,,,,,,,,,
9ab8d1a3-e5ce-433f-b594-0beab7ba5132,1078712-88-5,1078712885,,1078712-88-5,"Thiols, C4-20, γ-ω-perfluoro, telomers with acrylamide and acrylic acid, sodium salts",,,,,,,,,,,,,,,
9ab8cfe5-8e91-4b09-a2b0-7c9cf1d2fa72,1078715-61-3,1078715613,1732422,1078715-61-3,"1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-[2-[(γ-ω-perfluoro-C4-20-alkyl)thio]acetyl] derivs., inner salts","1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-[2-[(γ-ω-perfluoro-C4-20-alkyl)thio]acetyl] derivs., inner salts",,,,,,,,,,,,,,
9ab8c7fa-a052-4ad2-a375-2f0020941b53,0108-05-04,108054,24828,108-05-4,Vinyl acetate,Vinyl acetate,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1998.pdf,Yes," S14, S18",,,,,,,Yes,S3,Yes,S8
9ab8c18f-c4e3-42be-ba67-b4947b40db97,0108-10-1,108101,24851,108-10-1,Methyl isobutyl ketone,Methyl isobutyl ketone,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1268.pdf,Yes,"S4,  S14, S18",Yes,S4,,,,,,,Yes,S8
9ab8c0b4-345d-4ff4-93cb-5415b49bd404,108-31-6,108316,25015,108-31-6,Maleic anhydride,Maleic anhydride,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1152.pdf,,,,,,,,,,,Yes,"S8, S17 "
9ab8c82b-c0b2-4e55-8baa-1c16459f8f27,108-38-3,108383,25056,108-38-3,m-Xylene,m-Xylene,,,,,,,,,,,,,,
9ab8ba48-8e34-41c0-b0b5-b018682d279a,108-39-4,108394,25064,108-39-4,m-Cresol,m-Cresol,,,,,,,,,,,,,,
